InvestigationID,ClaimID,Investigator,InvestigationStatus,FraudType,FraudConfirmed
FRD600122,CLM902485,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD600123,CLM902515,M. Srinivasan (SIU),Ongoing,Fake Documents,Under Review
FRD600124,CLM902517,P. Acharya (SIU),Ongoing,Staged Accident,Under Review
FRD600125,CLM902533,D. Pillai (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600126,CLM902547,A. Verma (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600127,CLM902580,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600128,CLM902594,K. Joseph (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600129,CLM902661,P. Acharya (SIU),Closed,Provider Collusion,Not Confirmed
FRD600130,CLM902665,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600131,CLM902713,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD600132,CLM902725,A. Verma (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600133,CLM902753,K. Joseph (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600134,CLM902792,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600135,CLM902794,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600136,CLM902808,P. Acharya (SIU),Ongoing,Fictitious Policy,Under Review
FRD600137,CLM902823,D. Pillai (SIU),Ongoing,Staged Accident,Under Review
FRD600138,CLM902858,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD600139,CLM902890,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600140,CLM902896,S. Bhalla (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600141,CLM902957,M. Srinivasan (SIU),Ongoing,Fake Documents,Under Review
FRD600142,CLM902980,D. Pillai (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600143,CLM903032,D. Pillai (SIU),Ongoing,False Death Claim,Under Review
FRD600144,CLM903069,M. Srinivasan (SIU),Ongoing,False Death Claim,Under Review
FRD600145,CLM903107,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600146,CLM903116,M. Srinivasan (SIU),Closed,Staged Accident,Not Confirmed
FRD600147,CLM903147,D. Pillai (SIU),Closed,Provider Collusion,Not Confirmed
FRD600148,CLM903154,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600149,CLM903175,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD600150,CLM903231,M. Srinivasan (SIU),Ongoing,Fake Documents,Under Review
FRD600151,CLM903249,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600152,CLM903284,K. Joseph (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600153,CLM903305,A. Verma (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600154,CLM903306,N. Kohli (SIU),Ongoing,Fake Documents,Under Review
FRD600155,CLM903317,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600156,CLM903334,S. Bhalla (SIU),Closed,Fake Documents,Not Confirmed
FRD600157,CLM903420,M. Srinivasan (SIU),Closed,Fake Documents,Not Confirmed
FRD600158,CLM903425,K. Joseph (SIU),Closed,Identity Theft,Not Confirmed
FRD600159,CLM903432,A. Verma (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600160,CLM903442,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600161,CLM903452,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600162,CLM903459,A. Verma (SIU),Closed,Fake Documents,Not Confirmed
FRD600163,CLM903465,M. Srinivasan (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600164,CLM903554,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600165,CLM903555,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600166,CLM903571,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD600167,CLM903596,R. Menon (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600168,CLM903601,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD600169,CLM903657,K. Joseph (SIU),Ongoing,Fictitious Policy,Under Review
FRD600170,CLM903676,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600171,CLM903679,N. Kohli (SIU),Closed,Fictitious Policy,Confirmed
FRD600172,CLM903708,N. Kohli (SIU),Closed,Identity Theft,Not Confirmed
FRD600173,CLM903724,K. Joseph (SIU),Ongoing,Staged Accident,Under Review
FRD600174,CLM903740,S. Bhalla (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600175,CLM903755,P. Acharya (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600176,CLM903780,N. Kohli (SIU),Closed,Staged Accident,Confirmed
FRD600177,CLM903783,R. Menon (SIU),Ongoing,Staged Accident,Under Review
FRD600178,CLM903799,A. Verma (SIU),Closed,Fictitious Policy,Confirmed
FRD600179,CLM903827,D. Pillai (SIU),Closed,Provider Collusion,Not Confirmed
FRD600180,CLM903839,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD600181,CLM903852,A. Verma (SIU),Closed,False Death Claim,Not Confirmed
FRD600182,CLM903854,N. Kohli (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600183,CLM903856,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD600184,CLM903872,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD600185,CLM903906,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD600186,CLM903918,N. Kohli (SIU),Closed,Staged Accident,Not Confirmed
FRD600187,CLM903931,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD600188,CLM903952,S. Bhalla (SIU),Closed,Identity Theft,Not Confirmed
FRD600189,CLM903953,P. Acharya (SIU),Closed,Identity Theft,Confirmed
FRD600190,CLM903988,D. Pillai (SIU),Ongoing,Staged Accident,Under Review
FRD600191,CLM904002,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600192,CLM904032,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD600193,CLM904055,N. Kohli (SIU),Closed,Fake Documents,Confirmed
FRD600194,CLM904074,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600195,CLM904088,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600196,CLM904108,M. Srinivasan (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600197,CLM904131,M. Srinivasan (SIU),Closed,Staged Accident,Not Confirmed
FRD600198,CLM904145,S. Bhalla (SIU),Closed,Staged Accident,Not Confirmed
FRD600199,CLM904151,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600200,CLM904179,P. Acharya (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600201,CLM904206,N. Kohli (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600202,CLM904224,N. Kohli (SIU),Closed,Provider Collusion,Not Confirmed
FRD600203,CLM904236,M. Srinivasan (SIU),Closed,Staged Accident,Not Confirmed
FRD600204,CLM904256,N. Kohli (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600205,CLM904295,A. Verma (SIU),Closed,False Death Claim,Not Confirmed
FRD600206,CLM904319,P. Acharya (SIU),Closed,False Death Claim,Not Confirmed
FRD600207,CLM904328,M. Srinivasan (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600208,CLM904342,D. Pillai (SIU),Closed,Identity Theft,Confirmed
FRD600209,CLM904357,M. Srinivasan (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600210,CLM904363,N. Kohli (SIU),Closed,False Death Claim,Confirmed
FRD600211,CLM904387,S. Bhalla (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600212,CLM904395,M. Srinivasan (SIU),Closed,Fake Documents,Not Confirmed
FRD600213,CLM904396,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD600214,CLM904432,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600215,CLM904446,K. Joseph (SIU),Closed,Identity Theft,Confirmed
FRD600216,CLM904453,D. Pillai (SIU),Ongoing,Identity Theft,Under Review
FRD600217,CLM904477,D. Pillai (SIU),Closed,Identity Theft,Confirmed
FRD600218,CLM904500,K. Joseph (SIU),Closed,Identity Theft,Confirmed
FRD600219,CLM904509,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD600220,CLM904518,R. Menon (SIU),Closed,Fictitious Policy,Confirmed
FRD600221,CLM904534,N. Kohli (SIU),Closed,Staged Accident,Confirmed
FRD600222,CLM904591,K. Joseph (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600223,CLM904625,D. Pillai (SIU),Ongoing,Provider Collusion,Under Review
FRD600224,CLM904632,R. Menon (SIU),Closed,Fake Documents,Not Confirmed
FRD600225,CLM904664,R. Menon (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600226,CLM904686,R. Menon (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600227,CLM904739,P. Acharya (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600228,CLM904770,D. Pillai (SIU),Closed,Staged Accident,Not Confirmed
FRD600229,CLM904771,S. Bhalla (SIU),Closed,Identity Theft,Not Confirmed
FRD600230,CLM904774,D. Pillai (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600231,CLM904823,P. Acharya (SIU),Closed,Fictitious Policy,Not Confirmed
FRD600232,CLM904847,P. Acharya (SIU),Closed,Staged Accident,Not Confirmed
FRD600233,CLM904887,M. Srinivasan (SIU),Closed,Identity Theft,Not Confirmed
FRD600234,CLM904889,R. Menon (SIU),Closed,Identity Theft,Not Confirmed
FRD600235,CLM904890,M. Srinivasan (SIU),Closed,Staged Accident,Not Confirmed
FRD600236,CLM904913,D. Pillai (SIU),Ongoing,Identity Theft,Under Review
FRD600237,CLM904915,S. Bhalla (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600238,CLM904973,A. Verma (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600239,CLM904982,A. Verma (SIU),Closed,Fake Documents,Confirmed
FRD600240,CLM905041,P. Acharya (SIU),Ongoing,Staged Accident,Under Review
FRD600241,CLM905076,D. Pillai (SIU),Closed,Identity Theft,Confirmed
FRD600242,CLM905116,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD600243,CLM905132,P. Acharya (SIU),Closed,Staged Accident,Not Confirmed
FRD600244,CLM905183,K. Joseph (SIU),Ongoing,Fake Documents,Under Review
FRD600245,CLM905270,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD600246,CLM905297,A. Verma (SIU),Closed,Staged Accident,Not Confirmed
FRD600247,CLM905305,A. Verma (SIU),Ongoing,Fake Documents,Under Review
FRD600248,CLM905357,D. Pillai (SIU),Closed,Fictitious Policy,Confirmed
FRD600249,CLM905414,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600250,CLM905470,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600251,CLM905490,A. Verma (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600252,CLM905492,K. Joseph (SIU),Closed,Identity Theft,Confirmed
FRD600253,CLM905520,N. Kohli (SIU),Closed,Fake Documents,Not Confirmed
FRD600254,CLM905539,R. Menon (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600255,CLM905569,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600256,CLM905580,N. Kohli (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600257,CLM905596,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD600258,CLM905605,S. Bhalla (SIU),Closed,False Death Claim,Confirmed
FRD600259,CLM905620,K. Joseph (SIU),Closed,Fake Documents,Confirmed
FRD600260,CLM905638,K. Joseph (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600261,CLM905642,S. Bhalla (SIU),Closed,Staged Accident,Confirmed
FRD600262,CLM905686,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600263,CLM905718,A. Verma (SIU),Ongoing,Staged Accident,Under Review
FRD600264,CLM905720,D. Pillai (SIU),Closed,Fake Documents,Confirmed
FRD600265,CLM905729,P. Acharya (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600266,CLM905763,K. Joseph (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600267,CLM905769,K. Joseph (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600268,CLM905798,N. Kohli (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600269,CLM905816,A. Verma (SIU),Closed,Fake Documents,Not Confirmed
FRD600270,CLM905856,P. Acharya (SIU),Ongoing,Fictitious Policy,Under Review
FRD600271,CLM905865,A. Verma (SIU),Closed,Staged Accident,Confirmed
FRD600272,CLM905867,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600273,CLM905986,S. Bhalla (SIU),Closed,Fake Documents,Confirmed
FRD600274,CLM906023,M. Srinivasan (SIU),Ongoing,Provider Collusion,Under Review
FRD600275,CLM906044,R. Menon (SIU),Ongoing,Staged Accident,Under Review
FRD600276,CLM906057,K. Joseph (SIU),Ongoing,Staged Accident,Under Review
FRD600277,CLM906084,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600278,CLM906089,N. Kohli (SIU),Ongoing,Fake Documents,Under Review
FRD600279,CLM906092,A. Verma (SIU),Closed,Fake Documents,Confirmed
FRD600280,CLM906124,D. Pillai (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600281,CLM906153,R. Menon (SIU),Closed,Staged Accident,Confirmed
FRD600282,CLM906156,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Not Confirmed
FRD600283,CLM906170,P. Acharya (SIU),Closed,False Death Claim,Not Confirmed
FRD600284,CLM906188,D. Pillai (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600285,CLM906235,S. Bhalla (SIU),Ongoing,Fictitious Policy,Under Review
FRD600286,CLM906238,R. Menon (SIU),Ongoing,Fake Documents,Under Review
FRD600287,CLM906247,D. Pillai (SIU),Closed,Fake Documents,Not Confirmed
FRD600288,CLM906267,S. Bhalla (SIU),Ongoing,Staged Accident,Under Review
FRD600289,CLM906272,A. Verma (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600290,CLM906311,S. Bhalla (SIU),Closed,Multiple/Duplicate Claims,Confirmed
FRD600291,CLM906313,D. Pillai (SIU),Closed,Fake Documents,Not Confirmed
FRD600292,CLM906315,N. Kohli (SIU),Closed,False Death Claim,Confirmed
FRD600293,CLM906337,A. Verma (SIU),Ongoing,Provider Collusion,Under Review
FRD600294,CLM906339,D. Pillai (SIU),Closed,Identity Theft,Not Confirmed
FRD600295,CLM906357,K. Joseph (SIU),Closed,Staged Accident,Not Confirmed
FRD600296,CLM906388,S. Bhalla (SIU),Closed,Inflated Claim Amount,Not Confirmed
FRD600297,CLM906425,P. Acharya (SIU),Ongoing,Staged Accident,Under Review
FRD600298,CLM906433,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600299,CLM906472,P. Acharya (SIU),Closed,Provider Collusion,Not Confirmed
FRD600300,CLM906494,A. Verma (SIU),Closed,Fictitious Policy,Confirmed
FRD600301,CLM906502,S. Bhalla (SIU),Closed,Staged Accident,Not Confirmed
FRD600302,CLM906537,P. Acharya (SIU),Closed,Fake Documents,Confirmed
FRD600303,CLM906559,M. Srinivasan (SIU),Closed,Identity Theft,Confirmed
FRD600304,CLM906570,K. Joseph (SIU),Ongoing,False Death Claim,Under Review
FRD600305,CLM906572,D. Pillai (SIU),Closed,Fake Documents,Not Confirmed
FRD600306,CLM906597,S. Bhalla (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600307,CLM906636,D. Pillai (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600308,CLM906647,M. Srinivasan (SIU),Closed,Fictitious Policy,Confirmed
FRD600309,CLM906692,D. Pillai (SIU),Closed,Staged Accident,Confirmed
FRD600310,CLM906717,S. Bhalla (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600311,CLM906768,S. Bhalla (SIU),Ongoing,False Death Claim,Under Review
FRD600312,CLM906795,P. Acharya (SIU),Closed,Inflated Claim Amount,Confirmed
FRD600313,CLM906796,N. Kohli (SIU),Closed,Provider Collusion,Not Confirmed
FRD600314,CLM906862,S. Bhalla (SIU),Closed,Identity Theft,Confirmed
FRD600315,CLM906949,K. Joseph (SIU),Ongoing,Provider Collusion,Under Review
FRD600316,CLM906994,K. Joseph (SIU),Ongoing,Staged Accident,Under Review
FRD600317,CLM906997,A. Verma (SIU),Closed,Identity Theft,Not Confirmed
FRD600318,CLM907038,D. Pillai (SIU),Ongoing,Inflated Claim Amount,Under Review
FRD600319,CLM907050,M. Srinivasan (SIU),Closed,Fake Documents,Not Confirmed
FRD600320,CLM907168,P. Acharya (SIU),Ongoing,Multiple/Duplicate Claims,Under Review
FRD600321,CLM907186,P. Acharya (SIU),Closed,Fake Documents,Not Confirmed
